place_id,place_name,review_id_hash,rating,review_text,published_at,published_at_date,response_from_owner_text,response_from_owner_ago,response_from_owner_date,review_likes_count,total_number_of_reviews_by_reviewer,total_number_of_photos_by_reviewer,is_local_guide,review_translated_text,response_from_owner_translated_text,label,score
ChIJjTVgsZabTDAR6-U-JJ8hj-Y,Restoran Api Api Ikan Bakar,6e6c6091c9034efed91537719321fb0b,5,"The food is all delicious. There are fishing boats on the side, its really beautiful.",a month ago,2024-02-29 11:45:20.262,,,,0,97.0,922.0,1.0,Makanan semua sedap2.kat tepi tu ada bot2 nelayan memang cantik lh.,,positive,0.99727064371109
ChIJjTVgsZabTDAR6-U-JJ8hj-Y,Restoran Api Api Ikan Bakar,ef2ac6edb6f7375def1c5854b34af892,4,,a month ago,2024-02-29 11:45:20.262,,,,0,,,,,,,
ChIJjTVgsZabTDAR6-U-JJ8hj-Y,Restoran Api Api Ikan Bakar,d7dc0c6bb249b11a642e9c8a8575c5d2,5,Had to queue up before getting a table. However it wasnt a long wait. The service was really quick and good. Ordered the food and waited less than 20 minutes for the food to arrive. Overall the food was delicious with adequate portions (had a meal for 3 adults). The price was fairly reasonable for the service and food served. Highly recommended to come.,a month ago,2024-02-29 11:45:20.262,,,,0,31.0,35.0,1.0,,,,
ChIJjTVgsZabTDAR6-U-JJ8hj-Y,Restoran Api Api Ikan Bakar,4b172ae985c0f2fa8e3508486584e140,4,,a month ago,2024-02-29 11:45:20.279,,,,0,16.0,1.0,1.0,,,,
ChIJjTVgsZabTDAR6-U-JJ8hj-Y,Restoran Api Api Ikan Bakar,858ec9a4d4e60f09b9917a250665c4c0,4,,a month ago,2024-02-29 11:45:20.279,,,,0,3.0,,0.0,,,,
ChIJjTVgsZabTDAR6-U-JJ8hj-Y,Restoran Api Api Ikan Bakar,fbe9da4e1d6f7e0e71dfd3c4d4f4e30b,5,,a month ago,2024-02-29 11:45:20.279,,,,0,5.0,8.0,0.0,,,,
ChIJjTVgsZabTDAR6-U-JJ8hj-Y,Restoran Api Api Ikan Bakar,1ce888ca19704069611212cd28bb1884,3,"The food is average, the service is okay, the atmosphere is good and you can see the sea. You can take a boat there for 15 people, but the food is very expensive.",a month ago,2024-02-29 11:45:20.279,,,,0,13.0,,1.0,15,,positive,0.621393382549285
ChIJjTVgsZabTDAR6-U-JJ8hj-Y,Restoran Api Api Ikan Bakar,583e462095025ae8aebf5c12aaf8a5ca,5,Fast service...delicious food..package ready...,a month ago,2024-02-29 11:45:20.296,,,,0,4.0,3.0,0.0,Servis cepat...makanan sedap..siap ada pakej...,,positive,0.997289896011352
ChIJjTVgsZabTDAR6-U-JJ8hj-Y,Restoran Api Api Ikan Bakar,82432a4ef85ca8cec834b6992f18a3fc,4,,a month ago,2024-02-29 11:45:20.296,,,,0,1.0,,0.0,,,,
ChIJjTVgsZabTDAR6-U-JJ8hj-Y,Restoran Api Api Ikan Bakar,5cbc1215812787622937281d2b19fb5c,5,,a month ago,2024-02-29 11:45:21.046,,,,0,3.0,,0.0,,,,
ChIJjTVgsZabTDAR6-U-JJ8hj-Y,Restoran Api Api Ikan Bakar,184f4564ef9b8ded32296a934bfb03f5,5,,a month ago,2024-02-29 11:45:21.046,,,,0,5.0,15.0,1.0,,,,
ChIJjTVgsZabTDAR6-U-JJ8hj-Y,Restoran Api Api Ikan Bakar,8a2176be8f7f29989ec0c0be12790bb0,5,,a month ago,2024-02-29 11:45:21.062,,,,0,33.0,47.0,1.0,,,,
ChIJjTVgsZabTDAR6-U-JJ8hj-Y,Restoran Api Api Ikan Bakar,ca4da4b34101d5fab49f487e4c6b160a,3,,a month ago,2024-02-29 11:45:21.062,,,,0,,,,,,,
ChIJjTVgsZabTDAR6-U-JJ8hj-Y,Restoran Api Api Ikan Bakar,4bc1c5ea73d6984ef46d7f44d6e10e00,3,,a month ago,2024-02-29 11:45:21.062,,,,0,8.0,8.0,1.0,,,,
ChIJjTVgsZabTDAR6-U-JJ8hj-Y,Restoran Api Api Ikan Bakar,c89d05003513009d23052443a387a227,4,Im surprised because there are so many people,a month ago,2024-02-29 11:45:21.062,,,,0,70.0,,1.0,syoq sbb mmg ramai,,negative,0.900107741355896
ChIJjTVgsZabTDAR6-U-JJ8hj-Y,Restoran Api Api Ikan Bakar,5003a3aac697cc1910c95513bccd2247,5,,a month ago,2024-02-29 11:45:21.079,,,,0,9.0,,0.0,,,,
ChIJjTVgsZabTDAR6-U-JJ8hj-Y,Restoran Api Api Ikan Bakar,5a9d2d5363384e59fd89f2ec0af9b3fd,5,"Another should stop, for the boat ride. Not really the food",a month ago,2024-02-29 11:45:21.079,,,,0,182.0,110.0,1.0,,,,
ChIJjTVgsZabTDAR6-U-JJ8hj-Y,Restoran Api Api Ikan Bakar,d198ca11a3e558c94f32499cc567509b,5,"Good place for grilled fish in Perlis. Located by the river bank. Grilled fish is a must try, combine it with spicy/chili cooked shrimp (add petai if you like). Grilled eggplant.. fuh! Yummy.",a month ago,2024-02-29 11:45:21.079,,,,0,28.0,13.0,1.0,"Good place for ikan bakar in Perlis. Located by the river bank. Ikan bakar is a must try, combine it with udang masak pedas/sambal (add petai if you like). Terung bakar.. fuh! Yummy.",,positive,0.997305750846862
ChIJjTVgsZabTDAR6-U-JJ8hj-Y,Restoran Api Api Ikan Bakar,168a4855b947ed9326f9bb37187d6b89,1,Arrogant and hard to find parking. Not recommended,a month ago,2024-02-29 11:45:21.096,,,,0,132.0,36.0,1.0,,,,
ChIJjTVgsZabTDAR6-U-JJ8hj-Y,Restoran Api Api Ikan Bakar,3e4513ddaa30c151dbb9dbfe10967fa4,5,,a month ago,2024-02-29 11:45:21.761,,,,0,61.0,23.0,1.0,,,,
ChIJjTVgsZabTDAR6-U-JJ8hj-Y,Restoran Api Api Ikan Bakar,9c2668ae4af77f22a6df999c33ba9d3f,5,,a month ago,2024-02-29 11:45:21.762,,,,0,1.0,,0.0,,,,
ChIJjTVgsZabTDAR6-U-JJ8hj-Y,Restoran Api Api Ikan Bakar,3a44f85ab22267587a48c1b16b4dba67,4,Jenahak bakar ~ recommended,a month ago,2024-02-29 11:45:21.762,,,,0,98.0,,1.0,,,,
ChIJjTVgsZabTDAR6-U-JJ8hj-Y,Restoran Api Api Ikan Bakar,424fb76c6c0b9ecb37d4b7f37dbc001a,5,"Grilled fish is the tastiest and freshest, everything is delicious.. , lala sambal is the best",a month ago,2024-02-29 11:45:21.762,,,,0,13.0,52.0,1.0,"Ikan bakar paling sedap dan fresh, semua sedap padu.. , lala sambal best",,positive,0.99734228849411
ChIJjTVgsZabTDAR6-U-JJ8hj-Y,Restoran Api Api Ikan Bakar,5bff9da08367e289d09d4bf48988f3b1,4,"Its delicious, especially the moist grilled yellow/coconut milk flavor with the fatty terubuk fish, which is rare among grilled fish players.. just the chili to cover the lala...",a month ago,2024-02-29 11:45:21.779,,,,0,81.0,176.0,1.0,Sedap terutama rasa moist bakar kuning/santan dgn ikan terubuk berlemak yg jarang dlm kalangan pemain ikn bakar..cuma cili terlebih menutupi lala...,,negative,0.995727777481079
ChIJjTVgsZabTDAR6-U-JJ8hj-Y,Restoran Api Api Ikan Bakar,aac06f0b3a7f0e17c8b4c54bd65de2a7,5,Delicious food..reasonable price..,a month ago,2024-02-29 11:45:21.779,,,,0,13.0,,0.0,Makanan sedap..harga berpatutan..,,positive,0.997305989265441
ChIJjTVgsZabTDAR6-U-JJ8hj-Y,Restoran Api Api Ikan Bakar,08baa3f9fc7a6c131b591742fef9df14,1,Crowded. They sell seafood only. We ordered satay from a stall outside restaurant premise. Overall restaurant is good. Food : 3/5,a month ago,2024-02-29 11:45:21.796,,,,0,54.0,80.0,1.0,,,,
ChIJjTVgsZabTDAR6-U-JJ8hj-Y,Restoran Api Api Ikan Bakar,a1064b48b3c5bf305c1673db0245c9e9,4,,a month ago,2024-02-29 11:45:21.796,,,,0,1.0,1.0,0.0,,,,
ChIJjTVgsZabTDAR6-U-JJ8hj-Y,Restoran Api Api Ikan Bakar,c3ddee6f275f753ce95125e4e53a7207,5,Delicious...fresh dishes...worth it...the usual price is RM100++,a month ago,2024-02-29 11:45:21.796,,,,0,2.0,7.0,0.0,Sedap...lauk fresh2...berbaloi...harga mcm biasa rm100++,,positive,0.997217416763305
ChIJjTVgsZabTDAR6-U-JJ8hj-Y,Restoran Api Api Ikan Bakar,56ad5b14b32f5d79988678180381c013,4,,a month ago,2024-02-29 11:45:21.812,,,,0,1.0,,0.0,,,,
ChIJjTVgsZabTDAR6-U-JJ8hj-Y,Restoran Api Api Ikan Bakar,e37061c0d100aa3780c822579077ea2a,3,,a month ago,2024-02-29 11:45:22.412,,,,0,7.0,9.0,1.0,,,,
ChIJjTVgsZabTDAR6-U-JJ8hj-Y,Restoran Api Api Ikan Bakar,d5ca4f13e3d26bc9ebc922aae0fd9933,5,"Nice view, solid grilled fish, delicious, reasonable price!",a month ago,2024-02-29 11:45:22.429,,,,0,90.0,31.0,1.0,"Nice view, ikan bakar padu, sedap, harga berpatutan!",,positive,0.997302174568176
ChIJjTVgsZabTDAR6-U-JJ8hj-Y,Restoran Api Api Ikan Bakar,071dc6fe7e0ff519551fadb7904d6fdd,5,,a month ago,2024-02-29 11:45:22.440,,,,0,5.0,3.0,0.0,,,,
ChIJjTVgsZabTDAR6-U-JJ8hj-Y,Restoran Api Api Ikan Bakar,f6b4a290e02a675ff60c8d21855237c8,4,"Spacious car parking, clean place. Food has taste",a month ago,2024-02-29 11:45:22.446,,,,0,3.0,26.0,0.0,"Parking kereta luas, tempat bersih. Makanan ada rasa",,positive,0.997077822685241
ChIJjTVgsZabTDAR6-U-JJ8hj-Y,Restoran Api Api Ikan Bakar,a793214c412edec9c5da66a3dd5638e8,3,Nice place with nice service... but the food taste is average ... not worth for money spent.,a month ago,2024-02-29 11:45:22.446,,,,0,6.0,,0.0,,,,
ChIJjTVgsZabTDAR6-U-JJ8hj-Y,Restoran Api Api Ikan Bakar,d589e14f9019bab8046b19ad7ca37c4d,4,"Vegetarian options: Sayur campur, tomyam sup. Must inform them. Food",a month ago,2024-02-29 11:45:22.446,,,,0,7.0,1.0,0.0,"Vegetarian options: Mixed vegetables, tomyam soup. Must inform them. Food",,positive,0.99714595079422
ChIJjTVgsZabTDAR6-U-JJ8hj-Y,Restoran Api Api Ikan Bakar,f0876b75900e8847972f38f8f64953ab,4,"The fish is good, the water is good, the butter prawn is ok, but if you reduce the butter a little, it will be much better. very reasonable price. wide area, ok for children. best view, although next to the river, there are no mosquitoes.",a month ago,2024-02-29 11:45:22.462,,,,0,2.0,2.0,0.0,"ikan sedap, air sedap, butter prawn ok, cuma kalau kurangkan sikit lagi butter, much better. harga sangat berpatutan. kawasan luas, ok untuk anak-anak. best view, walaupun sebelah sungai, tak ada nyamuk.",,positive,0.996758639812469
ChIJjTVgsZabTDAR6-U-JJ8hj-Y,Restoran Api Api Ikan Bakar,f354a7ce39fa4b8920a51174910cbadd,5,,a month ago,2024-02-29 11:45:22.462,,,,0,28.0,1.0,0.0,,,,
ChIJjTVgsZabTDAR6-U-JJ8hj-Y,Restoran Api Api Ikan Bakar,bba4d4436609ca47e54c59d2a07e9bf3,2,"Not my taste. The special thing is that the fish is fresh. Most cuisines only depend on the freshness of fish, prawns, crabs and others that make the cuisine edible. In my opinion, this restaurant is an attraction because of its location........Other than that, there is nothing special.",2 months ago,2024-01-29 11:45:22.479,,,,0,9.0,,0.0,"Bukan citarasa saya. Istimewanya cuma ikannya segar. Kebanyakan masakan hanya bergantung kepada kesegaran ikan, udang, ketam dan lain2 yg menjadikan masakan itu boleh dimakan. Pada hemat saya restoran ini menjadi tarikan kerana lokasinya........Lain2 tiada yang istimewa.",,negative,0.984577119350433
ChIJjTVgsZabTDAR6-U-JJ8hj-Y,Restoran Api Api Ikan Bakar,c9b917101a1702bc3960a5abde43892e,5,,2 months ago,2024-01-29 11:45:22.479,,,,0,1.0,,0.0,,,,
ChIJjTVgsZabTDAR6-U-JJ8hj-Y,Restoran Api Api Ikan Bakar,e994710c10dde5dbf4da3ea54e067985,5,,2 months ago,2024-01-29 11:45:23.646,,,,0,2.0,,0.0,,,,
ChIJjTVgsZabTDAR6-U-JJ8hj-Y,Restoran Api Api Ikan Bakar,f677a745674d948cc3b3d7a2fca4ee8a,5,Food very delicious. Price fair.,2 months ago,2024-01-29 11:45:23.646,,,,0,2.0,2.0,0.0,,,,
ChIJjTVgsZabTDAR6-U-JJ8hj-Y,Restoran Api Api Ikan Bakar,df504495f7bc3e513e7bd1ad5d3510ff,5,Nice Place,2 months ago,2024-01-29 11:45:23.646,,,,0,49.0,12.0,1.0,,,,
ChIJjTVgsZabTDAR6-U-JJ8hj-Y,Restoran Api Api Ikan Bakar,b514abde40bce611a3d799ccc39ad799,4,Systematic ordering system. Prices standard ikan bakar. Taste was great!,2 months ago,2024-01-29 11:45:23.646,,,,1,678.0,805.0,1.0,,,,
ChIJjTVgsZabTDAR6-U-JJ8hj-Y,Restoran Api Api Ikan Bakar,6c05061ba7a72697cb4b593d0e7ae949,5,This is the place where you can find good food,2 months ago,2024-01-29 11:45:23.662,,,,0,2.0,,0.0,,,,
ChIJjTVgsZabTDAR6-U-JJ8hj-Y,Restoran Api Api Ikan Bakar,9885191fe09cbb44106739509c38b757,5,,2 months ago,2024-01-29 11:45:23.662,,,,0,,,,,,,
ChIJjTVgsZabTDAR6-U-JJ8hj-Y,Restoran Api Api Ikan Bakar,98f1cd178d07cc259326eee7bbe572bd,4,,2 months ago,2024-01-29 11:45:23.662,,,,0,24.0,10.0,1.0,,,,
ChIJjTVgsZabTDAR6-U-JJ8hj-Y,Restoran Api Api Ikan Bakar,8a193930d46c9f1e7708525f85e15d69,1,"I hope the shop is by the river, but the order taker goes so far as to ask what kind of prawn squid he wants to cook, but the way he does it is rude, like he wants to have a fight. People come a long way to eat at your shop, youre making a fool of yourself. Typical Malay shops that are busy already have a lot of customers but act arrogant. Its a pity that the shop has staff like this, its lucky that they didnt monitor the service. Mamat lacks ajaq, there is a picture of this kiuajaq boy attached",2 months ago,2024-01-29 11:45:23.662,,,,1,2.0,1.0,0.0,"Harap kedai je tepi sungai,tapi tukang ambik order takat tanya sotong udang nak masak apa je tapi cara ckp kurang ajar macam nak gaduh. Org datang jauh2 nak makan kedai kau,kau buat sial.typical kedai melayu yg mentang2 dah ada pelanggan ramai tapi berlagak sombong. Kesian tauke kedai ada staf2 camni,nasib la sape suh tak pantau servis.mamat kurang ajaq tu ada sekali attached gambar budak kiuajaq ni",,negative,0.999107897281646
ChIJjTVgsZabTDAR6-U-JJ8hj-Y,Restoran Api Api Ikan Bakar,ae4e0c0fafe87eddaf1a472e33664307,5,,2 months ago,2024-01-29 11:45:23.679,,,,0,2.0,,0.0,,,,
ChIJjTVgsZabTDAR6-U-JJ8hj-Y,Restoran Api Api Ikan Bakar,e51c89780286574d627e793c8655619a,4,,2 months ago,2024-01-29 11:45:23.679,,,,0,,,,,,,
ChIJjTVgsZabTDAR6-U-JJ8hj-Y,Restoran Api Api Ikan Bakar,c4a362e2332644afef9b8a317e1924a9,4,,2 months ago,2024-01-29 11:45:24.246,,,,0,14.0,114.0,0.0,,,,
ChIJjTVgsZabTDAR6-U-JJ8hj-Y,Restoran Api Api Ikan Bakar,697e3c4e33869a58a999b89e28977cc0,5,,2 months ago,2024-01-29 11:45:24.246,,,,0,5.0,3.0,0.0,,,,
ChIJjTVgsZabTDAR6-U-JJ8hj-Y,Restoran Api Api Ikan Bakar,78bfa198d719bc32eb6cccd060507bf3,5,Love this place so much.. all the dishes is so good.. super fast service despite of the crowd and the price is so reasonable too.. my go to place when I visit my in laws family in Perlis.. recommended to all especially the Kuala Perlis specialty which is santan grilled fish.. the deep fried squid is a must too and the sweet sour fish is also recommended.. one of my favourite place to bring the whole family for a feast,2 months ago,2024-01-29 11:45:24.246,,,,1,32.0,39.0,0.0,,,,
ChIJjTVgsZabTDAR6-U-JJ8hj-Y,Restoran Api Api Ikan Bakar,37d6dcb4839825b4fc20221966a12f56,5,One of the famous places to eat grilled fish in the state of Perlis. Fast service. There are many seats. Have eaten here twice and it was really fast even when it was crowded. Very tasty food. Grilled octopus is one of the very tasty side dishes here. Eating with the atmosphere of Kuala Perlis at night is one of the attractions for visitors to enjoy food here.,2 months ago,2024-01-29 11:45:24.262,,,,0,39.0,10.0,1.0,Antara tempat makan ikan bakar yang terkenal di negeri Perlis. Servis yang laju. Tempat duduk memang ramai. Pernah makan dua kali di sini dan memang sangat cepat walaupun waktu ramai orang. Makanan yang sangat sedap. Sotong bakar antara lauk yang sangat sedap di sini. Makan bersama suasana Kuala Perlis di malam hari antara tarikan pengunjung untuk menikmati makanan di sini.,,positive,0.99723607301712
ChIJjTVgsZabTDAR6-U-JJ8hj-Y,Restoran Api Api Ikan Bakar,c286cde322429fa161663cc9b559f8c2,1,"We ordered a la carte .. when you want to choose the fish, you dont serve it .. he serves the one you take a set first . then we want to change to take a set .. we cant because we ordered water he said... we can have that water pay once .. even simple things like that cant be done zzz then well go back to another shop and the service is better",2 months ago,2024-01-29 11:45:24.266,,,,1,2.0,24.0,0.0,,,,
ChIJjTVgsZabTDAR6-U-JJ8hj-Y,Restoran Api Api Ikan Bakar,309a61e05965d0bb9e3730396b27aa10,5,,2 months ago,2024-01-29 11:45:24.266,,,,0,,,,,,,
ChIJjTVgsZabTDAR6-U-JJ8hj-Y,Restoran Api Api Ikan Bakar,9d6fa134edeb951b492ca2ae1a254a23,5,All is well. Great place to eat with big family. Really recommended.,2 months ago,2024-01-29 11:45:24.266,,,,1,1.0,1.0,0.0,,,,
ChIJjTVgsZabTDAR6-U-JJ8hj-Y,Restoran Api Api Ikan Bakar,67ad333bc9f8d8766ff828ec8e10dbf8,5,,2 months ago,2024-01-29 11:45:24.279,,,,0,18.0,45.0,1.0,,,,
ChIJjTVgsZabTDAR6-U-JJ8hj-Y,Restoran Api Api Ikan Bakar,0cdbbee7531934179c428d8f68cfbe3e,5,"The best food is delicious and you dont have to wait long Parking: Kubu hill, Perlis riverside",2 months ago,2024-01-29 11:45:24.279,,,,0,7.0,8.0,0.0,,,,
ChIJjTVgsZabTDAR6-U-JJ8hj-Y,Restoran Api Api Ikan Bakar,572641fe88d0414ae1c9dff4fd4e198d,5,"Its really good...in sha allah, I want to repeat it again when I go to Perlis...were from Puchong",2 months ago,2024-01-29 11:45:24.279,,,,0,79.0,55.0,1.0,Memang sedap sgt...in sha allah nak repeat lagi kalau ke perlis...kami dari puchong,,positive,0.996103048324585
ChIJjTVgsZabTDAR6-U-JJ8hj-Y,Restoran Api Api Ikan Bakar,a46a056ee051ba734430c2a18f402b38,3,Wonderful....and good for familys gathering,2 months ago,2024-01-29 11:45:24.862,,,,0,18.0,6.0,1.0,,,,
ChIJjTVgsZabTDAR6-U-JJ8hj-Y,Restoran Api Api Ikan Bakar,688c2d33d5effb0dee143767aa0bbd3e,5,"Going for dinner. Sharing my experience: We chose three main dishes mainly consisting of 2 fishes and crab. Side dishes include sotong goreng tepung, terung bakar and satay. The process from ordering to payment is smooth. From having been given a table number to ordering and choosing your own main dish and lastly to pay. This place has its own management in place and I loved it. Thank you for this fulfilling experience, Restoran Api-Api Ikan Bakar. Would love to repeat!",2 months ago,2024-01-29 11:45:24.862,,,,0,27.0,29.0,1.0,,,,
ChIJjTVgsZabTDAR6-U-JJ8hj-Y,Restoran Api Api Ikan Bakar,9bb83e17e3897a0b7f28a2cf03cfb929,4,,2 months ago,2024-01-29 11:45:24.872,,,,0,16.0,275.0,1.0,,,,
ChIJjTVgsZabTDAR6-U-JJ8hj-Y,Restoran Api Api Ikan Bakar,9a6c46c4ad7dccd2fb5ea68bea16c04e,5,,2 months ago,2024-01-29 11:45:24.879,,,,0,38.0,665.0,1.0,,,,
ChIJjTVgsZabTDAR6-U-JJ8hj-Y,Restoran Api Api Ikan Bakar,686462c854db654ba9b461771672cab6,4,,2 months ago,2024-01-29 11:45:24.879,,,,0,10.0,9.0,1.0,,,,
ChIJjTVgsZabTDAR6-U-JJ8hj-Y,Restoran Api Api Ikan Bakar,93544bb6e7689ee180dcedd6b934f61c,4,,2 months ago,2024-01-29 11:45:24.879,,,,0,8.0,,1.0,,,,
ChIJjTVgsZabTDAR6-U-JJ8hj-Y,Restoran Api Api Ikan Bakar,0b3ff4c8d1148f35ddbae7a72e9d84b5,3,"The best grill fish and fried calamari place in Kuala Perlis, their other dish seems lacking a bit but these two dish just make u comes back and back. Overall would recommend still just be mindful when ordering other than these two dishes ya. Thank you.",2 months ago,2024-01-29 11:45:24.879,,,,0,24.0,,1.0,,,,
ChIJjTVgsZabTDAR6-U-JJ8hj-Y,Restoran Api Api Ikan Bakar,f733f2c3705a8a84940fac481420de38,5,Pleasant place for eating.,2 months ago,2024-01-29 11:45:24.896,,,,0,62.0,,1.0,,,,
