review_text,label
permandangan yg cantik ...kedai sgt2 bersih,positive
Mabeles....,negative
"Parking luas, pengurusan pelanggan sistematik, makanan sedap terutamanya ikan bakar santan..memang kena dengan selera kami sekeluarga..",positive
"Mknn sedap, harga berpatutan, view cantik tapi agak susah nk dpt parking di sebelah restoran. Kena park di seberang jalan dgn traffic yg sgt sibuk! Parking: Parking sebelah restoran sgt limited. Kena parking seberang jalan yg sgt sibuk",positive
Ikan bakar sedap fresh.,positive
Sedap.,positive
"Makanan sedap, restoran tepi muara laut, angin semulajadi sentiasa bertiup, service cepat walaupun ramai orang",positive
Sedap. View cantik. Tepi sungai. Bersih. Tandas pun bersih. Nyaman. Parking ada just sempit sikit sebab ada dua side kiri kanan.,negative
"Salam dari Gunung Cilik, Muntuk, Dlingo, Bantul, Yogyakarta, Indonesia",positive
Second time datang. Good services and good food. Harga berbaloi.,positive
"Customer tidak dpt buat pilihan Dan perlu pilih set yg ditetapkan restaurants, sy dtg 4 org terpaksa ambik set utk 5org. Nasi berlebih serta air berlebih, lauk juga berlebih. Rasa sedih sbb terpaksa membazir. Kami bukan org perlis sbb tu xboleh bawa blk baki mknan. Agak ralat sbb pembaziran berlaku. Diharap tidak perlu buat mcmnie. Biarlah order ikut permintaan.",negative
Amat baik,positive
Terbaik hidangan pun cepat smpai sedap semuanya terbaik..harga pun ok,positive
"Sotong salted egg rasa pelik, ikan balar terlalu hangus and hangit, sotong goreng tepung keras, tomyam dia ok je. Harga pulak mahal gila. Better makan tempat lain sumpah x berbaloi",negative
Makanan amat sedap...harga berpatutan...parking disediakan,positive
kalau berkunjung ke perlis jangan lupa singgah ke restoran api-api ikan bakar... terbaikkkk,positive
Harga berpatutan dan sistematik,positive
Sedap,positive
Makanan sedap. Harga pn berpatutan,positive
Makan sedap.. harga pun ok lagi,positive
"Seafood semua fresh. Tapi masakan siakap 3, udang butter, tomyam rasa manis sangat pada saya. Kurang rasa masam dan pedas....",negative
"Parking : pergi ni masa weekdays dan sebelum isya, jadi parking okay Servis : ada system menunggu, nombor giliran, waiting time pun okay, overall servis not bad Makanan : 1. ikan di bakar mmg okay, sbb dia x rentung, mmg sedap tapi bukan selera saya sbb dia ada curahkan kuah kuning rasa manis2 (to those yg suka manis2 tu okay saja). 2. Biasanya kalau ikan bakar kita akan dapat kuah cicah air asam atau kicap pedas and it s free/ boleh refill tapi ni perlu dibayar per piring. Well cara orang lain2. 3. Sotong goreng okay 4. Staff di section pilih2 ikan perlu be a bit friendly, sbb orang luar datang dia tak tahu, jadi orang boleh salah anggap ingat sombong. But yeah maybe tengah penat Harga : okaylah, tapi bagi saya a bit pricey untuk rasa makanan yg so-so",negative
Sedap...xrugi bratur tunggu makanan...servis tiptop,positive
Sedap dan murah,positive
"Nice view ..banyak dah improve Tempat ni..since my last visit ..ikan jenahak dia fresh, sempoi .X dak ghaujau punya!!!...system order pun senang lagi menyenangkan...cepat..tp kena sabar ..ramai org wei..aku suggest Lepas solat asar direct terus pergi ..sempoi Wei..",negative
Ikan bakaq padu!! Ikan fresssssh,positive
"Makanan segar & sedap,tempat makan dan parking luas.",positive
Makanan semua sedap dan harga masih berpatutan. Boleh reserved awal atau kena tunggu lama sebab ramai bethol. Ada sate juga. Terdapat surau dan tandas disediakan. Kid-friendliness: Luas tapi sebab tepi jalan kena betul2 perhatikan anak ya. Bukan sahaja tepi jalan tapi tepi muara. Kang khusuk sgt makan..ada yg berenang pulak.,positive
Tempat MKNn terbaik yg ada di Kuala Perlis. MKNn ok Sea food dia pun ok. Nak datang lebih baik tempah dahulu supaya ada table. Parking terhad. Hati2 sebab tepi jalan.,positive
"ikan bakar sedap and harga reasonable. parking banyak belah opposite restoran. yg best restoran ni sistematik, oku and family friendly",positive
Ikan bakar yg sedap.,positive
Murahh,negative
Ikan bakar sedap. Sotong telung sedap. Tomyam sedap. Sayur sedap. Udang butter tak berapa sedap. Depa tak letak susu. Berminyak saja. Ingredients semua fresh. Highly recommended.,positive
Semua sedap,positive
P tp xdpt mkn..terlalu ramai,negative
"Everthing was superb! From the ordering system to the delicious food. Service was fast. We ordered ikan jenahak masak stim halia, sotong bakar 2 ekor, sotong goreng tepung 2 ekor, ayam masak kicap, nasi, air asam boi, air sirap n kopi o panas, the price was RM119. Cashless payment is accepted. Parking is easy as there are parking spaces at both sides.",positive
"Parking: Cheap prices, fresh fish/shrimp... recommended place to eat. Recommended dishes",positive
Chili crab dan ikan bakar memang padu..,positive
"Datang mlm raya cny. Around 9pm ++. Ramai org tapi tak terlalu lama menunggu. Around 20 mins to get to your table, then another 10 mins for your turn to order and 15-20 mins for your food to arrive. Suka kedai yg tau pelanggan ramai tapi ada sistem. Tak perlu berebut meja ect. Ikan bakar - segar dan sedap. Recommended. Sambal udang okay, sotong goreng tepung okay. Harga dlm lingkungan standard.",positive
The best ikan bakar in Malaysia.,positive
"Pergi dengan wife. Rasanya antara tempat ikan bakar paling best di Kangar, Perlis. Tempat crowded with people.",positive
Rombongan family datang mkan sini berbaloi murah makanan semua sedap..dan nak makan dekat sini sistematik..walaupun ramai tapi tak kelam kabut..saya suggest utk datang sini..,negative
"Kedai dia Ramai giler,siap Dekat bawah khemah 1 tu khas untuk customer menunggu beserta dengan no giliran untuk dapat meja,Kalau tengah Lapar sangat2 Jangan datang sini,Nanti boleh bawak bergaduh     tak ada rezeki datang dari Jauh Selangor nak try,Tak sanggup nak menunggu ada anak kecil Memang surrender awal lah..",negative
Terbaik dan sedap,positive
"Ikan bakar santan!!! Memang recommended. Sotong goreng tepung dia pun best. Kalau pi hujung minggu, better call/wasap dulu untuk reserve meja. Ramai orang mai makan. Sebab sedappppp",positive
Restoran Api Api Ikan Bakar menyediakan pelbagai juadah yang menyelerakan. Untuk orang KL ini first time makan ikan bakar dengan cicah yang sangat berbeza tetapi sodap... Alhamdulillah.,negative
Kurang sedap dah..x spt dahulu,positive
Overall sedap tp service betul2 sistematik & teratur. Jadi pelanggan tak tertunggu terlalu lama,positive
Masakan panas yg sedap dan hasil.laut yg segar. Tak rugi mencuba,positive
Better book dulu.. ramai oooo,positive
"tmpt best, makanan sedap cuma xnbyk pilihan makanan. ada seafod, sate, buah2..",positive
Seafood fresh 8/10..tp murah dan sedap compare kedai2 lain y pernah pergi..so 5,positive
"Makanan so far semua sedap. Udang butter, sotong sambal, ikan goreng. Sate pn sedap.",positive
"Terbaik nuhh.. Kami sampai dalam pukul 10 pm macam tu dan kami lah pelanggan terakhir. Order siakap bakaq, mentarang masak halia, ketam masak sambai, teluq dadar, sayur kailan goreng, terung bakaq. Semua sedap. Kecuali mentarang tu la kami tak biasa makan rasa agak berpasir.. Mungkin memang camtu kot kami pun tak taw sangat Bila sampai ambil nombor, order air, order makan, pilih ikan, lepas tu duduk dekat tempat yang disediakan. Tunggu makanan tak lama pun walaupun ramai orang. So memang puas hati la pendek katanya. Total untuk 9 orang dewasa RM140 camtu. Kira mampu milik la na, lain kali buleh datang lagi. Tima kasih team Api Api Bakar. Oh ya, paling best, tisu depa sediakan kat tempat masuk, kita tinggai ambil je berapa bekas nak. Pastu boleh bayar pakai QR code. Naisss Parking: Parking kereta seberang jalan ada banyak so jangan risau na",negative
Sedap. Pantas.,positive
Sangat memuaskan Hati...,positive
boleh lah kalau dah lapar,negative
Lokasi senang.. Parking banyak.. Service cepat.. Harga standard kedai ikan bakar.. Makanan sedap2 semua sedap cuma udang butter agak manis... Overall stim limau sedap.. Bakar santan sedap.. Lala masam manis sedap... Semualah..,negative
"Lokasi menarik ditepi muara. Kawasan parking ada didepan kawasan kedai dan juga seberang jalan. Restoran sgt luas. Sesuai untuk bersama pasangan, keluarga atau sebarang majlis. Harga makanan boleh dikatakan berpatutan. Rasa masakan sedap dan tidak mengecewakan. Berbaloi untuk disinggah.",negative
IKAN BAKAR DIA MMG ANOTHER LEVEL. MMG SEDAP DAN UNIK. MASAKAN LAIN PUN SEDAP YAKMAT WEYYYYY,negative
Harga agak mahal drpd area Kangar..,negative
"Da pergi, hari minggu kene booking dulu, kalau walk in kene beratur",positive
Makanan sedap kena datang awal Sebab orang ramai,positive
Siyes tempat best..mkn best..service tiptop..mmg aku rekomen makan kt sini...nk senang..call book dlu..smpai trus sapedek...,positive
Mmg murah. Terima kasih,positive
Sedap boss,positive
"Ikan bakar ok la,kailan ikan masin dgn udang butter sedap,tomyam ceroi.overall ok dgn harga",positive
"Makanan dia memang terbaik 5/5 sangat puas hati, harga pon affordable, surrounding menarik and yang paling penting sangat sistematik.",positive
sedap and puas hati..make sure call utk reservation...klu x menangis nt,negative
Semua terbaik makanan ..servis layanan tip top,positive
"Go to place untuk ikan bakar di Perlis - cara masak yg baik & ikan fresh, ikan cukup rasa & berlemak. Soto celup tepung - memang sedap. Udang di sini sentiasa fresh - byk kali dah datang.  Harga berpatutan untuk quality yg dapat. Yg penting - kena book dahulu sebelum datang.  Meja sentiasa penuh di hujung minggu.",positive
"Makanan sedap, service tiptop and harga berpatutan",positive
"Makanan dan minuman sedap,kami booking makanan awal sebelum datang, staff baik,surau ada sediakan telekung dan sejadah,bersih,sangat selesa,tempat ambil wudhuk pun kt dalam surau  tandas pun bersih,ada lebih dari dua tandas,rasanya klau datang siang boleh naik bot utk tengok pemandangan,dalam gambar ni kami duduk santai belakang dr tempat makan,terlindung skit Parking: Ada ruang parking di depan restaurant dan juga di seberang jalan bertentangan dgn restaurant (parking lebih luas).",positive
Ikan bakar santan terbaik dan terpadu,positive
Sedap tapi panas,positive
*Makan sedap. *tempat mesra oku. *meja byk. *parking luas. *perkerja terbaik.siap tlg mak sy yg oku utk ke tandas,positive
Rasa makanan so so je.. salted egg udang x rasa pon telur kuning tu..yg ada telur putih . Ikan 3 rasa tp hanya rasa manis saja..,positive
"tomyam je xbape piawww...sebab kuah da mcm masak asam pedas berlinang minyak..mayb pes tomyam tu biasa2 ja kot bkn cam kbnyakan kdai seafood pakai...lain2 lauk mcm lala masak lemak AAA   ,ikan bakor ok laa AA  ,sotong grg tepung pon okla AA   tepung tu lau nipis sikit xtebal sgt salutan tu ase lg ngam,udang masak sambal AAA   ,kailan ikan masin so2 la AA   kalu kuah kailan tu ngam2 kan guna sos tiram lg ngam n kari tu AAA Parking: kene usaha cari parking kalau park depan kedai da full",positive
Makan sedap. Beratur jugak. Service cepat. Harga berpatutan.,positive
Saya amat menyukainya.ada lagi bintang..,positive
Bagi saya ianya Sedap n murah...,positive
"Harga tak mahal dari seafood KL atau Penang.. rasa sedap.. ikan bakar dia sgt sedap, bakar shj tau.. off course masak lain pun sedap juga",positive
"Kena tggu nak masuk guna nombor agak lama..  Tapi makanan cepat je sampai, udang grg tepung sedap, yg lain ok.",positive
Harga sgt berpatutan dan makanan sedap,positive
Ikan bakar sedap tapi terlalu hangit dan x berpadanan dengan harga,positive
"Makanan sedap, servis pantas dan harga berpatutan..recomended udang goreng butter, siakap bakar, siakap 3 rasa, udang goreng tepung dan ketam cili..mmg terbaik",positive
lama tak makan ikan. sedap dan menjadi ikan steam lemon ni. more photo on ig@fzeo,positive
"Good food, good service, air manis, ikan hanyir sikit, tpi isi good. Sotong celup tepung sedap. Ketam okay lah. Boleh lah. Harga saya makan 5 family rm160",positive
"Walaupun org ramai, tp saya suka cara diorng organize kerja. Nampak trsusun je. Very good management and service. Harga pun berbaloi dan makanan pun sedap2. Nice",positive
"Masakan sedap.. Harga buleh makan Dan bayar..overall puas ati...sedap,lauk Yang sampai pun panas2...stim jenahak Dan bakaq jenahak mmg AAA... alhamdulillah...tandas Dan Surau AAAA....recommended...bayar lbey to puas ati..sure Akan repeat lagi...",positive
"Mknn sedap..masuk kedai kena oder ayaq dan amik nombor meja siap2 lps tu duduk depa pgl nombor meja kena bangun pi oder nk mkn apa..oder nasik dua,telur mata satu,ayam merah 1 dan daging kicap 1.rm25 lebih..xtahu la mhl atau murah..nk murah msk sendiri    boleh buka satu lagi cawangan kot dkt area arau?semoga maju..harap yg amik oder kena berlembut dan senyum selalu ya..jgn tegas dan garang tau",negative
"Insyaallah goyang lidah , saya pengunjung dari Jakarta",positive
Sedap. Selesa.pantas. berpatutan.,positive
"Makanan sedap,harga lebih kurang,view cantik,better reserved tempat sebelum dtg supaya tak perlu menunggu.",positive
masakan sedap. tapi cara oder makanan tu rasa tak sesuai la. castemer kena duduk dulu. lepas panggil balik untuk pilih ikan udang sotong. untuk dimasak.. cara ni kurang sesual.. bagi saja pilih. lepas tu tanya no meja. kan senang,negative
"Ikan bakar sini sedappp! View cantik tepi jetty. Kedai luas, toilet bersih, ada surau. Service laju. Harga berpatutan. Tapi itulah. Masa tulis review ni teringat2 ikan bakar jenahak. Aduh mcm mana ni eh. Dahlah jauh kl ke perlis.",positive
Sedap & Murah..,positive
Sedap...makanan sampai cepat..,positive
Makanan sgt sedap...sgt berbaloi makan dgn family,positive
"6/5  . Systematic, kemas, bersih, sedap, servis pantas, fresh.",positive
Sedap sangat!,positive
"Kena ambil number dan beratur dahulu. Tengok di google review, ramai yang cakap makanan semua sedap. Tapi bila dah makan di sana waktu hujung minggu, ikan bakar terlalu garing kulitnya, isi agak lembik untuk di makan, sos sotong celup tepung agak cair, sayur kailan ikan masin tua dan keras. Tomyam agak manis. Tak sesuai dengan citarasa kami sekeluarga.",negative
Ssrvis laju walaupn org ramai que.makanan sedap.. Boleh cuba kalau mai area kola perlis,positive
tempat makan telah di tambah...,negative
Masakan best.  Kena cita rasa..,positive
Kedai ni memang terkenal dengan seafood dia . Harga tak keras kalau pegi waktu bukan cuti sekolah . Jangan risau barang seafood dia memang segar dan tiptop,negative
Makanan semua sedap services laju,positive
"Terbaikkk,harga pn ok.. laju ja service..",positive
Xtau nk ckp ape.. Tp kdai ni mmg terbaik.. PERFECT. sistem sgt teratur.. Xde istilah org lain dtg kemudian dpt mknn dl.. Mmg bgus sistem die.. Kdai pun x huru hara... Order pun xla lmbt mne sampai.. Dan plg ngam harge jauh lbh rendah dr target kami.. Mmg recommended sgt kdai ni..,negative
Ikan bakar sedap..sos bakar dia lain dari yg lain . Sotong goreng tepung rangup diluar lembut di dalam. Butter prawn marbelesss,positive
"Kena mai awal kalau tak mau sesak dan beratur panjang. Kalau mai waktu malam dan sebelum magrib, memang ramai orang. Pukul 5.30 pun meja hampir penuh sebab ramai yang book meja awal. Lagi better kalau book meja awal. Servis memang tip top. Pekerja sangat teliti waktu ambik order. Overall, rasa ikan bakar dia biasa ja tapi mungkin bagi orang lain, rasa dia sedap. Tapi makanan lain sedap macam kailan ikan masin.",negative
IKAN BAKAQ TU BIASA JA INGATKAN SEDAP HAMPEH...,positive
Amat bagus. Kemudahan solat. RuAng makan yg selesa. Makanan yg berbagai pilihan dgn harga yg menarik. Kami suka. Mesti akan kunjungi lagi.,positive
